Tom,4,1,2994,2,1
Robin,7,7,4203,1,1
John,9,0,2017,2,1
Sam,8,8,2743,1,1
William,2,0,2681,1,2
Aman,0,0,3275,1,0
Karan,3,6,3993,0,1
Varun,2,1,2360,0,1
Abhinay,4,6,3849,1,0
Arjun,9,4,2614,1,1
Brian,0,3,3421,2,0
Steven,0,0,4072,0,1
Harry,6,5,2810,1,2
Draco,2,8,3803,0,1
Ron,8,7,4454,0,1
Neville,6,8,2756,1,1
Chandler,1,5,2439,1,2
George,4,7,4874,0,1
Charlie,1,1,4905,2,1
Percy,1,4,2880,1,1
Bill,3,4,4485,0,2
Fred,8,7,2605,0,1
James,7,7,4601,2,2
Sirius,5,3,3655,0,2
Peter,3,5,3538,2,1
Daniel,9,2,2735,0,1
Arnold,4,6,4118,2,2
Steve,2,9,2352,1,1
Adam,9,3,3433,0,0
Alan,3,9,3671,0,0
Benedict,1,0,3172,0,0
Martin,1,3,2134,0,0
Anirudh,1,6,2146,1,1
Arthur,9,8,4912,1,0
Sid,5,6,3847,0,0
Albus,7,8,3916,0,0
Reginald,1,6,2208,2,1
Julian,7,2,4056,1,1
Ted,3,4,2050,2,2
Lee,0,9,3955,1,1
Jordan,6,8,2627,0,0
Seamus,4,2,4419,0,0
Dean,2,1,3847,2,1
Thomas,5,8,2649,2,0
Rupert,3,5,4373,1,1
Clark,7,4,4195,1,0
Bruce,2,6,2530,1,0
Barry,3,2,3079,2,2
Gary,0,9,2312,0,2
Albert,2,2,2286,2,0
John,2,4,4479,2,2
Hamish,6,9,3167,2,0
Harold,8,3,2764,2,0
Roy,1,1,2612,1,2
Joey,5,9,3291,2,2
Matt,4,1,4800,0,1
Jack,6,2,2031,1,1
Sean,1,5,4923,2,2
